Season,Season type,Referee,Games,foul_type,foul_called,foul_per_game,z_score
2016-17,Regular Season,Aaron Smith,53,Total fouls,517,9.75,-2.87
2016-17,Regular Season,Aaron Smith,53,Shooting,262,4.94,-1.95
2016-17,Regular Season,Aaron Smith,53,Loose ball,20,0.38,-1.69
2016-17,Regular Season,Aaron Smith,53,Offensive charge,9,0.17,-2.13
2016-17,Regular Season,Aaron Smith,53,Offensive,8,0.15,-0.53
2016-17,Regular Season,Aaron Smith,53,Technical,15,0.28,0.48
2016-17,Regular Season,Aaron Smith,53,Defensive goaltending,7,0.13,-0.12
2016-17,Regular Season,Aaron Smith,53,Defensive 3 seconds,3,0.06,-0.72
2016-17,Regular Season,Ben Taylor,51,Total fouls,799,15.67,1.23
2016-17,Regular Season,Ben Taylor,51,Shooting,327,6.41,0.13
2016-17,Regular Season,Ben Taylor,51,Loose ball,63,1.24,1.82
2016-17,Regular Season,Ben Taylor,51,Offensive charge,12,0.24,-1.49
2016-17,Regular Season,Ben Taylor,51,Offensive,52,1.02,2.61
2016-17,Regular Season,Ben Taylor,51,Technical,22,0.43,1.7
2016-17,Regular Season,Ben Taylor,51,Defensive goaltending,15,0.29,2.42
2016-17,Regular Season,Ben Taylor,51,Defensive 3 seconds,6,0.12,-0.06
2016-17,Regular Season,Bennie Adams,59,Total fouls,953,16.15,1.56
2016-17,Regular Season,Bennie Adams,59,Shooting,367,6.22,-0.14
2016-17,Regular Season,Bennie Adams,59,Loose ball,65,1.1,1.28
2016-17,Regular Season,Bennie Adams,59,Offensive charge,26,0.44,0.55
2016-17,Regular Season,Bennie Adams,59,Offensive,54,0.92,2.23
2016-17,Regular Season,Bennie Adams,59,Technical,20,0.34,0.94
2016-17,Regular Season,Bennie Adams,59,Defensive goaltending,5,0.08,-0.86
2016-17,Regular Season,Bennie Adams,59,Defensive 3 seconds,10,0.17,0.5
2016-17,Regular Season,Bill Kennedy,65,Total fouls,860,13.23,-0.46
2016-17,Regular Season,Bill Kennedy,65,Shooting,391,6.02,-0.43
2016-17,Regular Season,Bill Kennedy,65,Loose ball,43,0.66,-0.52
2016-17,Regular Season,Bill Kennedy,65,Offensive charge,24,0.37,-0.16
2016-17,Regular Season,Bill Kennedy,65,Offensive,52,0.8,1.82
2016-17,Regular Season,Bill Kennedy,65,Technical,10,0.15,-0.59
2016-17,Regular Season,Bill Kennedy,65,Defensive goaltending,16,0.25,1.67
2016-17,Regular Season,Bill Kennedy,65,Defensive 3 seconds,16,0.25,1.33
2016-17,Regular Season,Bill Spooner,58,Total fouls,664,11.45,-1.7
2016-17,Regular Season,Bill Spooner,58,Shooting,285,4.91,-1.99
2016-17,Regular Season,Bill Spooner,58,Loose ball,44,0.76,-0.13
2016-17,Regular Season,Bill Spooner,58,Offensive charge,25,0.43,0.45
2016-17,Regular Season,Bill Spooner,58,Offensive,43,0.74,1.61
2016-17,Regular Season,Bill Spooner,58,Technical,11,0.19,-0.29
2016-17,Regular Season,Bill Spooner,58,Defensive goaltending,6,0.1,-0.57
2016-17,Regular Season,Bill Spooner,58,Defensive 3 seconds,7,0.12,-0.03
2016-17,Regular Season,Brent Barnaky,68,Total fouls,948,13.94,0.03
2016-17,Regular Season,Brent Barnaky,68,Shooting,406,5.97,-0.5
2016-17,Regular Season,Brent Barnaky,68,Loose ball,65,0.96,0.68
2016-17,Regular Season,Brent Barnaky,68,Offensive charge,36,0.53,1.43
2016-17,Regular Season,Brent Barnaky,68,Offensive,61,0.9,2.17
2016-17,Regular Season,Brent Barnaky,68,Technical,13,0.19,-0.28
2016-17,Regular Season,Brent Barnaky,68,Defensive goaltending,13,0.19,0.81
2016-17,Regular Season,Brent Barnaky,68,Defensive 3 seconds,9,0.13,0.1
2016-17,Regular Season,Brett Nansel,40,Total fouls,558,13.95,0.04
2016-17,Regular Season,Brett Nansel,40,Shooting,321,8.02,2.41
2016-17,Regular Season,Brett Nansel,40,Loose ball,25,0.62,-0.67
2016-17,Regular Season,Brett Nansel,40,Offensive charge,16,0.4,0.14
2016-17,Regular Season,Brett Nansel,40,Offensive,13,0.32,0.1
2016-17,Regular Season,Brett Nansel,40,Technical,3,0.08,-1.24
2016-17,Regular Season,Brett Nansel,40,Defensive goaltending,3,0.08,-1.01
2016-17,Regular Season,Brett Nansel,40,Defensive 3 seconds,1,0.02,-1.06
2016-17,Regular Season,Brian Forte,65,Total fouls,840,12.92,-0.68
2016-17,Regular Season,Brian Forte,65,Shooting,385,5.92,-0.56
2016-17,Regular Season,Brian Forte,65,Loose ball,29,0.45,-1.4
2016-17,Regular Season,Brian Forte,65,Offensive charge,22,0.34,-0.47
2016-17,Regular Season,Brian Forte,65,Offensive,30,0.46,0.59
2016-17,Regular Season,Brian Forte,65,Technical,12,0.18,-0.33
2016-17,Regular Season,Brian Forte,65,Defensive goaltending,7,0.11,-0.5
2016-17,Regular Season,Brian Forte,65,Defensive 3 seconds,21,0.32,2.16
2016-17,Regular Season,C.J. Washington,44,Total fouls,612,13.91,0.01
2016-17,Regular Season,C.J. Washington,44,Shooting,284,6.45,0.19
2016-17,Regular Season,C.J. Washington,44,Loose ball,46,1.05,1.05
2016-17,Regular Season,C.J. Washington,44,Offensive charge,12,0.27,-1.12
2016-17,Regular Season,C.J. Washington,44,Offensive,30,0.68,1.39
2016-17,Regular Season,C.J. Washington,44,Technical,12,0.27,0.39
2016-17,Regular Season,C.J. Washington,44,Defensive goaltending,3,0.07,-1.12
2016-17,Regular Season,C.J. Washington,44,Defensive 3 seconds,6,0.14,0.14
2016-17,Regular Season,Courtney Kirkland,62,Total fouls,929,14.98,0.75
2016-17,Regular Season,Courtney Kirkland,62,Shooting,405,6.53,0.3
2016-17,Regular Season,Courtney Kirkland,62,Loose ball,83,1.34,2.25
2016-17,Regular Season,Courtney Kirkland,62,Offensive charge,31,0.5,1.13
2016-17,Regular Season,Courtney Kirkland,62,Offensive,65,1.05,2.71
2016-17,Regular Season,Courtney Kirkland,62,Technical,11,0.18,-0.39
2016-17,Regular Season,Courtney Kirkland,62,Defensive goaltending,11,0.18,0.59
2016-17,Regular Season,Courtney Kirkland,62,Defensive 3 seconds,6,0.1,-0.29
2016-17,Regular Season,Curtis Blair,50,Total fouls,681,13.62,-0.19
2016-17,Regular Season,Curtis Blair,50,Shooting,324,6.48,0.22
2016-17,Regular Season,Curtis Blair,50,Loose ball,30,0.6,-0.78
2016-17,Regular Season,Curtis Blair,50,Offensive charge,17,0.34,-0.45
2016-17,Regular Season,Curtis Blair,50,Offensive,19,0.38,0.3
2016-17,Regular Season,Curtis Blair,50,Technical,7,0.14,-0.7
2016-17,Regular Season,Curtis Blair,50,Defensive goaltending,4,0.08,-0.93
2016-17,Regular Season,Curtis Blair,50,Defensive 3 seconds,8,0.16,0.4
2016-17,Regular Season,Dan Crawford,60,Total fouls,947,15.78,1.31
2016-17,Regular Season,Dan Crawford,60,Shooting,387,6.45,0.18
2016-17,Regular Season,Dan Crawford,60,Loose ball,71,1.18,1.61
2016-17,Regular Season,Dan Crawford,60,Offensive charge,31,0.52,1.3
2016-17,Regular Season,Dan Crawford,60,Offensive,63,1.05,2.72
2016-17,Regular Season,Dan Crawford,60,Technical,10,0.17,-0.48
2016-17,Regular Season,Dan Crawford,60,Defensive goaltending,12,0.2,0.95
2016-17,Regular Season,Dan Crawford,60,Defensive 3 seconds,7,0.12,-0.07
2016-17,Regular Season,David Guthrie,44,Total fouls,715,16.25,1.63
2016-17,Regular Season,David Guthrie,44,Shooting,297,6.75,0.61
2016-17,Regular Season,David Guthrie,44,Loose ball,50,1.14,1.42
2016-17,Regular Season,David Guthrie,44,Offensive charge,18,0.41,0.23
2016-17,Regular Season,David Guthrie,44,Offensive,31,0.7,1.47
2016-17,Regular Season,David Guthrie,44,Technical,12,0.27,0.39
2016-17,Regular Season,David Guthrie,44,Defensive goaltending,7,0.16,0.3
2016-17,Regular Season,David Guthrie,44,Defensive 3 seconds,3,0.07,-0.6
2016-17,Regular Season,Dedric Taylor,55,Total fouls,754,13.71,-0.13
2016-17,Regular Season,Dedric Taylor,55,Shooting,363,6.6,0.39
2016-17,Regular Season,Dedric Taylor,55,Loose ball,46,0.84,0.19
2016-17,Regular Season,Dedric Taylor,55,Offensive charge,15,0.27,-1.12
2016-17,Regular Season,Dedric Taylor,55,Offensive,29,0.53,0.83
2016-17,Regular Season,Dedric Taylor,55,Technical,7,0.13,-0.81
2016-17,Regular Season,Dedric Taylor,55,Defensive goaltending,10,0.18,0.66
2016-17,Regular Season,Dedric Taylor,55,Defensive 3 seconds,6,0.11,-0.15
2016-17,Regular Season,Derek Richardson,47,Total fouls,622,13.23,-0.46
2016-17,Regular Season,Derek Richardson,47,Shooting,294,6.26,-0.09
2016-17,Regular Season,Derek Richardson,47,Loose ball,22,0.47,-1.32
2016-17,Regular Season,Derek Richardson,47,Offensive charge,14,0.3,-0.87
2016-17,Regular Season,Derek Richardson,47,Offensive,38,0.81,1.85
2016-17,Regular Season,Derek Richardson,47,Technical,2,0.04,-1.5
2016-17,Regular Season,Derek Richardson,47,Defensive goaltending,9,0.19,0.81
2016-17,Regular Season,Derek Richardson,47,Defensive 3 seconds,14,0.3,1.89
2016-17,Regular Season,Derrick Collins,64,Total fouls,874,13.66,-0.17
2016-17,Regular Season,Derrick Collins,64,Shooting,400,6.25,-0.1
2016-17,Regular Season,Derrick Collins,64,Loose ball,38,0.59,-0.8
2016-17,Regular Season,Derrick Collins,64,Offensive charge,18,0.28,-1.03
2016-17,Regular Season,Derrick Collins,64,Offensive,51,0.8,1.81
2016-17,Regular Season,Derrick Collins,64,Technical,5,0.08,-1.21
2016-17,Regular Season,Derrick Collins,64,Defensive goaltending,6,0.09,-0.72
2016-17,Regular Season,Derrick Collins,64,Defensive 3 seconds,9,0.14,0.19
2016-17,Regular Season,Derrick Stafford,63,Total fouls,842,13.37,-0.37
2016-17,Regular Season,Derrick Stafford,63,Shooting,385,6.11,-0.3
2016-17,Regular Season,Derrick Stafford,63,Loose ball,54,0.86,0.28
