GeoName,Description,years,value_x,value_y,difference
United States,All items,2008,100.0,100.0,0.0
Alabama,All items,2008,87.6,100.0,-12.400000000000006
Alaska,All items,2008,106.9,100.0,6.900000000000006
Arizona,All items,2008,100.6,100.0,0.5999999999999943
Arkansas,All items,2008,86.9,100.0,-13.099999999999994
California,All items,2008,113.1,100.0,13.099999999999994
Colorado,All items,2008,100.4,100.0,0.40000000000000563
Connecticut,All items,2008,110.7,100.0,10.700000000000003
Delaware,All items,2008,102.0,100.0,2.0
District of Columbia,All items,2008,115.6,100.0,15.599999999999994
Florida,All items,2008,100.8,100.0,0.7999999999999973
Georgia,All items,2008,93.5,100.0,-6.5
Hawaii,All items,2008,118.1,100.0,18.099999999999994
Idaho,All items,2008,95.2,100.0,-4.799999999999997
Illinois,All items,2008,100.2,100.0,0.20000000000000281
Indiana,All items,2008,91.2,100.0,-8.799999999999997
Iowa,All items,2008,88.6,100.0,-11.400000000000006
Kansas,All items,2008,89.3,100.0,-10.700000000000003
Kentucky,All items,2008,88.9,100.0,-11.099999999999994
Louisiana,All items,2008,90.7,100.0,-9.299999999999997
Maine,All items,2008,98.0,100.0,-2.0
Maryland,All items,2008,110.3,100.0,10.299999999999997
Massachusetts,All items,2008,108.3,100.0,8.299999999999997
Michigan,All items,2008,95.4,100.0,-4.599999999999994
Minnesota,All items,2008,97.4,100.0,-2.5999999999999943
Mississippi,All items,2008,86.4,100.0,-13.599999999999996
Missouri,All items,2008,87.8,100.0,-12.200000000000003
Montana,All items,2008,95.3,100.0,-4.700000000000003
Nebraska,All items,2008,89.7,100.0,-10.299999999999997
Nevada,All items,2008,100.8,100.0,0.7999999999999973
New Hampshire,All items,2008,107.2,100.0,7.200000000000002
New Jersey,All items,2008,112.9,100.0,12.900000000000006
New Mexico,All items,2008,94.4,100.0,-5.599999999999994
New York,All items,2008,115.1,100.0,15.099999999999994
North Carolina,All items,2008,92.0,100.0,-8.0
North Dakota,All items,2008,88.5,100.0,-11.5
Ohio,All items,2008,90.0,100.0,-10.0
Oklahoma,All items,2008,88.9,100.0,-11.099999999999994
Oregon,All items,2008,98.3,100.0,-1.7000000000000028
Pennsylvania,All items,2008,98.2,100.0,-1.7999999999999972
Rhode Island,All items,2008,100.2,100.0,0.20000000000000281
South Carolina,All items,2008,91.1,100.0,-8.900000000000006
South Dakota,All items,2008,86.9,100.0,-13.099999999999994
Tennessee,All items,2008,90.5,100.0,-9.5
Texas,All items,2008,96.5,100.0,-3.5000000000000004
Utah,All items,2008,96.8,100.0,-3.200000000000003
Vermont,All items,2008,100.4,100.0,0.40000000000000563
Virginia,All items,2008,102.8,100.0,2.799999999999997
Washington,All items,2008,103.2,100.0,3.200000000000003
West Virginia,All items,2008,87.0,100.0,-13.0
Wisconsin,All items,2008,93.0,100.0,-7.000000000000001
Wyoming,All items,2008,96.1,100.0,-3.9000000000000057
United States,Goods,2008,99.5,99.5,0.0
Alabama,Goods,2008,97.6,99.5,-1.909547738693473
Alaska,Goods,2008,102.8,99.5,3.316582914572862
Arizona,Goods,2008,101.2,99.5,1.708542713567842
