Year,Service Type,Service Level,Coverage,ISO3,Residence Type,Population
2000,Drinking water,Non-piped improved,11.87357658823441,PER,total,3077022.88707751
2000,Drinking water,Non-piped improved,21.42523086054189,PER,rural,1496795.123474501
2000,Drinking water,Non-piped improved,8.348296284062826,PER,urban,1580227.798937691
2000,Drinking water,Piped improved,69.86291450564738,PER,total,18104889.061382823
2000,Drinking water,Piped improved,30.97573458279658,PER,rural,2164006.0156811643
2000,Drinking water,Piped improved,84.21521165064689,PER,urban,15940883.506713357
2017,Drinking water,Non-piped improved,5.02870194525996,PER,total,1617506.3196102814
2017,Drinking water,Non-piped improved,9.369059424959232,PER,rural,671430.7861265787
2017,Drinking water,Non-piped improved,3.784451137221765,PER,urban,946075.4696172283
2017,Drinking water,Piped improved,87.10756227692774,PER,total,28018569.006975226
2017,Drinking water,Piped improved,68.0401500727703,PER,rural,4876076.602719312
2017,Drinking water,Piped improved,92.57361539312933,PER,urban,23142491.072434556
