`part of speech,Word,Meaning,len
Verb,interdict,command against,2
Verb,interdict,"destroy by firepower, such as an enemy's line of communication",10
Noun,interdict,a court order prohibiting a party from doing a certain activity,11
Noun,interdict,an ecclesiastical censure by the Roman Catholic Church withdrawing certain sacraments and Christian burial from a person or all persons in a particular district,24
Verb,interdict,command against,2
Verb,interdict,"destroy by firepower, such as an enemy's line of communication",10
Noun,interdict,a court order prohibiting a party from doing a certain activity,11
Noun,interdict,an ecclesiastical censure by the Roman Catholic Church withdrawing certain sacraments and Christian burial from a person or all persons in a particular district,24
Noun,probe,an exploratory action or expedition,5
Verb,probe,question or examine thoroughly and closely,6
Noun,probe,an inquiry into unfamiliar or questionable activities,7
Verb,probe,examine physically with or as if with a probe,9
Noun,probe,an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity,16
Noun,probe,a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities,18
Adjective,prudent,careful and sensible; marked by sound judgment,7
Adjective,perverse,resistant to guidance or discipline,5
Adjective,perverse,marked by a disposition to oppose and contradict,8
Adjective,perverse,deviating from what is considered moral or right or proper or good,12
Adjective,ambivalent,uncertain or unable to decide about what course to follow,10
Verb,censure,rebuke formally,2
Noun,censure,harsh criticism or disapproval,4
Noun,censure,the state of being excommunicated,5
Verb,harangue,deliver a harangue to; address forcefully,6
Noun,harangue,a loud bombastic declamation expressed with strong emotion,8
Verb,belie,represent falsely,2
Verb,belie,be in contradiction with,4
Verb,demur,take exception to,3
Verb,demur,enter a demurrer,3
Adjective,innocuous,not causing disapproval,3
Adjective,innocuous,lacking intent or capacity to injure,6
Adjective,innocuous,not injurious to physical or mental health,7
Adjective,commensurate,corresponding in size or degree or extent,7
Adjective,egregious,conspicuously and outrageously bad or reprehensible,6
Adjective,amorphous,unclear because vague or badly organized,6
Adjective,amorphous,without real or apparent crystalline form,6
Adjective,amorphous,having no definite form or distinct shape,7
Adjective,amorphous,(of a group of people or an organization,8
Adjective,amorphous,lacking the system or structure characteristic of living bodies,9
Adjective,ambiguous,having more than one possible meaning,2
Adjective,ambiguous,having no intrinsic or objective meaning; not organized in conventional patterns,11
Adjective,ambiguous,open to two or more interpretations; or of uncertain nature or significance; or (often,14
Verb,vindicate,"clear of accusation, blame, suspicion, or doubt with supporting proof",10
Verb,chastise,censure severely,2
Adjective,auspicious,auguring favorable circumstances and good luck,6
Adjective,restive,being in a tense state,5
Adjective,restive,impatient especially under restriction or delay,6
Verb,prevaricate,be deliberately ambiguous or unclear in order to mislead or withhold information,12
Adjective,equivocal,ambiguous,2
Adjective,equivocal,open to question,3
Adjective,equivocal,uncertain as a sign or indication,6
Adjective,equivocal,open to two or more interpretations; or of uncertain nature or significance; or (often,14
Adjective,impertinent,improperly forward or bold,4
Adjective,impertinent,not pertinent to the matter under consideration,7
Adjective,impertinent,characterized by a lightly pert and exuberant quality,8
Adjective,extant,still in existence; not extinct or destroyed or lost,9
Verb,venerate,regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of,16
Verb,upbraid,express criticism towards,3
Adjective,laconic,brief and to the point; effectively cut short,8
Adjective,artful,not straightforward or candid; giving a false appearance of frankness,10
Adjective,artful,marked by skill in achieving a desired end especially with cunning or craft,13
Adjective,prodigal,recklessly wasteful,2
Noun,prodigal,a recklessly extravagant consumer,4
Noun,venality,prostitution of talents or offices or services for reward,9
Noun,aberration,a disorder in one's mental state,6
Noun,aberration,a state or condition markedly different from the norm,9
