Team,Year,Total_game,variable,value,value_per_game,z_score,gender
Virginia,2019,20,Win,17,0.85,1.8811256815343391,Male
Penn State,2019,18,Win,16,0.8888888888888888,2.08309431211014,Male
Yale,2019,19,Win,15,0.7894736842105263,1.5667835271795212,Male
High Point,2019,16,Win,13,0.8125,1.6863702163362455,Male
Army,2019,18,Win,13,0.7222222222222222,1.2175144667852784,Male
Duke,2019,18,Win,13,0.7222222222222222,1.2175144667852784,Male
Georgetown,2019,18,Win,13,0.7222222222222222,1.2175144667852784,Male
Penn,2019,16,Win,12,0.75,1.3617777743394222,Male
Loyola,2019,17,Win,12,0.7058823529411765,1.1326536976357826,Male
Maryland,2019,17,Win,12,0.7058823529411765,1.1326536976357826,Male
Hobart,2019,16,Win,11,0.6875,1.037185332342599,Male
Towson,2019,16,Win,11,0.6875,1.037185332342599,Male
Boston University,2019,17,Win,11,0.6470588235294118,0.827154928697596,Male
Air Force,2019,15,Win,10,0.6666666666666666,0.928987851676991,Male
Cornell,2019,15,Win,10,0.6666666666666666,0.928987851676991,Male
Delaware,2019,15,Win,10,0.6666666666666666,0.928987851676991,Male
Denver,2019,15,Win,10,0.6666666666666666,0.928987851676991,Male
UMass,2019,15,Win,10,0.6666666666666666,0.928987851676991,Male
Marist,2019,17,Win,10,0.5882352941176471,0.5216561597594094,Male
Richmond,2019,17,Win,10,0.5882352941176471,0.5216561597594094,Male
Syracuse,2019,14,Win,9,0.6428571428571429,0.8053335880591541,Male
Sacred Heart,2019,15,Win,9,0.6,0.5827559135470465,Male
Stony Brook,2019,15,Win,9,0.6,0.5827559135470465,Male
Mount St Mary's,2019,16,Win,9,0.5625,0.38800044834895264,Male
Notre Dame,2019,16,Win,9,0.5625,0.38800044834895264,Male
Quinnipiac,2019,16,Win,9,0.5625,0.38800044834895264,Male
Lehigh,2019,17,Win,9,0.5294117647058824,0.21615739082122276,Male
Robert Morris,2019,17,Win,9,0.5294117647058824,0.21615739082122276,Male
Ohio State,2019,12,Win,8,0.6666666666666666,0.928987851676991,Male
Cleveland State,2019,15,Win,8,0.5333333333333333,0.23652397541710177,Male
Detroit Mercy,2019,15,Win,8,0.5333333333333333,0.23652397541710177,Male
North Carolina,2019,15,Win,8,0.5333333333333333,0.23652397541710177,Male
Vermont,2019,15,Win,8,0.5333333333333333,0.23652397541710177,Male
Villanova,2019,15,Win,8,0.5333333333333333,0.23652397541710177,Male
Canisius,2019,16,Win,8,0.5,0.06340800635212944,Male
Johns Hopkins,2019,16,Win,8,0.5,0.06340800635212944,Male
Holy Cross,2019,14,Win,7,0.5,0.06340800635212944,Male
Princeton,2019,14,Win,7,0.5,0.06340800635212944,Male
Saint Joseph's,2019,14,Win,7,0.5,0.06340800635212944,Male
Drexel,2019,15,Win,7,0.4666666666666667,-0.10970796271284289,Male
Rutgers,2019,15,Win,7,0.4666666666666667,-0.10970796271284289,Male
Brown,2019,16,Win,7,0.4375,-0.26118443564469374,Male
Providence,2019,16,Win,7,0.4375,-0.26118443564469374,Male
UMBC,2019,16,Win,7,0.4375,-0.26118443564469374,Male
Hampton,2019,11,Win,6,0.5454545454545454,0.2994752368952734,Male
Navy,2019,13,Win,6,0.46153846153846156,-0.13634118872283854,Male
Siena,2019,13,Win,6,0.46153846153846156,-0.13634118872283854,Male
Manhattan,2019,14,Win,6,0.42857142857142855,-0.3075547845013829,Male
Marquette,2019,14,Win,6,0.42857142857142855,-0.3075547845013829,Male
Bucknell,2019,15,Win,6,0.4,-0.45593990084278757,Male
Jacksonville,2019,15,Win,6,0.4,-0.45593990084278757,Male
Harvard,2019,13,Win,5,0.38461538461538464,-0.5358395788727748,Male
Fairfield,2019,14,Win,5,0.35714285714285715,-0.678517575354895,Male
Hofstra,2019,14,Win,5,0.35714285714285715,-0.678517575354895,Male
UAlbany,2019,14,Win,5,0.35714285714285715,-0.678517575354895,Male
UMass Lowell,2019,14,Win,5,0.35714285714285715,-0.678517575354895,Male
Utah,2019,15,Win,5,0.3333333333333333,-0.8021718389727325,Male
Monmouth,2019,12,Win,4,0.3333333333333333,-0.8021718389727325,Male
Colgate,2019,13,Win,4,0.3076923076923077,-0.935337969022711,Male
Michigan,2019,13,Win,4,0.3076923076923077,-0.935337969022711,Male
VMI,2019,13,Win,4,0.3076923076923077,-0.935337969022711,Male
Furman,2019,14,Win,4,0.2857142857142857,-1.0494803662084073,Male
St. John's,2019,14,Win,4,0.2857142857142857,-1.0494803662084073,Male
Hartford,2019,15,Win,4,0.26666666666666666,-1.1484037771026772,Male
Lafayette,2019,15,Win,4,0.26666666666666666,-1.1484037771026772,Male
Bellarmine,2019,13,Win,3,0.23076923076923078,-1.3348363591726473,Male
Bryant,2019,14,Win,3,0.21428571428571427,-1.4204431570619194,Male
Binghamton,2019,13,Win,2,0.15384615384615385,-1.7343347493225836,Male
Dartmouth,2019,13,Win,2,0.15384615384615385,-1.7343347493225836,Male
Wagner,2019,14,Win,2,0.14285714285714285,-1.7914059479154316,Male
NJIT,2019,15,Win,2,0.13333333333333333,-1.8408676533625667,Male
Mercer,2019,13,Win,1,0.07692307692307693,-2.13383313947252,Male
St. Bonaventure,2019,13,Win,0,0.0,-2.533331529622456,Male
Yale,2018,20,Win,17,0.85,1.9392020524196198,Male
UAlbany,2018,19,Win,16,0.8421052631578947,1.8972349324597941,Male
Duke,2018,20,Win,16,0.8,1.6734102926740582,Male
Maryland,2018,18,Win,14,0.7777777777777778,1.5552806216760302,Male
Denver,2018,17,Win,13,0.7647058823529411,1.4857925799124843,Male
Loyola,2018,17,Win,13,0.7647058823529411,1.4857925799124843,Male
Cornell,2018,18,Win,13,0.7222222222222222,1.259956444180961,Male
Robert Morris,2018,18,Win,13,0.7222222222222222,1.259956444180961,Male
Vermont,2018,16,Win,12,0.75,1.4076185329284956,Male
Georgetown,2018,17,Win,12,0.7058823529411765,1.1730963919765294,Male
Johns Hopkins,2018,17,Win,12,0.7058823529411765,1.1730963919765294,Male
UMass,2018,17,Win,12,0.7058823529411765,1.1730963919765294,Male
Virginia,2018,18,Win,12,0.6666666666666666,0.9646322666858919,Male
Bucknell,2018,15,Win,11,0.7333333333333333,1.3190212796799747,Male
Saint Joseph's,2018,15,Win,11,0.7333333333333333,1.3190212796799747,Male
Richmond,2018,17,Win,11,0.6470588235294118,0.8604002040405737,Male
Villanova,2018,16,Win,10,0.625,0.7431391335645903,Male
Lehigh,2018,17,Win,10,0.5882352941176471,0.5477040161046182,Male
Navy,2018,14,Win,9,0.6428571428571429,0.8380647620451485,Male
Notre Dame,2018,15,Win,9,0.6,0.6102432536918091,Male
Quinnipiac,2018,15,Win,9,0.6,0.6102432536918091,Male
Rutgers,2018,15,Win,9,0.6,0.6102432536918091,Male
Detroit Mercy,2018,16,Win,9,0.5625,0.41089943388263755,Male
Princeton,2018,13,Win,8,0.6153846153846154,0.6920253336135208,Male
Michigan,2018,14,Win,8,0.5714285714285714,0.45836224812291637,Male
Penn State,2018,14,Win,8,0.5714285714285714,0.45836224812291637,Male
Bryant,2018,15,Win,8,0.5333333333333333,0.2558542406977263,Male
Jacksonville,2018,15,Win,8,0.5333333333333333,0.2558542406977263,Male
Ohio State,2018,15,Win,8,0.5333333333333333,0.2558542406977263,Male
Syracuse,2018,15,Win,8,0.5333333333333333,0.2558542406977263,Male
